timestamp,domain,parameter,value_from,value_to,delta_J,cumulative_delta_J
2026-03-25 11:28:06,network,cluster.qos_normalised,0.5000,0.9800,-0.0049,-0.7970
2026-03-25 11:29:07,thermal,cluster.fan_speed_normalised,0.5000,0.9600,-0.0046,-0.8016
2026-03-25 11:29:08,network,cluster.qos_normalised,0.5000,0.7400,-0.0037,-0.8053
2026-03-25 11:30:10,thermal,cluster.fan_speed_normalised,0.5000,0.9600,-0.0046,-0.8099
2026-03-25 11:30:11,network,cluster.qos_normalised,0.5000,0.7900,-0.0039,-0.8138
2026-03-25 11:31:12,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.8188
2026-03-25 11:31:12,network,cluster.qos_normalised,0.5000,0.5100,-0.0025,-0.8213
2026-03-25 11:32:16,thermal,cluster.fan_speed_normalised,0.5000,0.9800,-0.0048,-0.8261
2026-03-25 11:32:17,network,cluster.qos_normalised,0.5000,0.5300,-0.0026,-0.8287
2026-03-25 11:33:18,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.8337
2026-03-25 11:33:19,network,cluster.qos_normalised,0.5000,0.7200,-0.0036,-0.8373
2026-03-25 11:34:21,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.8423
2026-03-25 11:34:22,network,cluster.qos_normalised,0.5000,0.9800,-0.0049,-0.8472
2026-03-25 11:35:23,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.8522
2026-03-25 11:35:23,network,cluster.qos_normalised,0.5000,0.0700,-0.0004,-0.8526
2026-03-25 11:36:25,thermal,cluster.fan_speed_normalised,0.5000,0.9400,-0.0044,-0.8570
2026-03-25 11:36:26,network,cluster.qos_normalised,0.5000,0.0700,-0.0004,-0.8574
2026-03-25 11:37:27,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.8624
2026-03-25 11:37:27,network,cluster.qos_normalised,0.5000,0.2100,-0.0011,-0.8635
2026-03-25 11:38:31,thermal,cluster.fan_speed_normalised,0.5000,0.9600,-0.0046,-0.8681
2026-03-25 11:38:32,network,cluster.qos_normalised,0.5000,0.9400,-0.0047,-0.8728
2026-03-25 11:39:33,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.8778
2026-03-25 11:39:34,network,cluster.qos_normalised,0.5000,0.3500,-0.0018,-0.8796
2026-03-25 11:40:36,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.8846
2026-03-25 11:40:36,network,cluster.qos_normalised,0.5000,0.3300,-0.0017,-0.8863
2026-03-25 11:41:37,thermal,cluster.fan_speed_normalised,0.5000,0.9200,-0.0042,-0.8905
2026-03-25 11:41:38,network,cluster.qos_normalised,0.5000,0.7700,-0.0038,-0.8943
2026-03-25 11:42:40,thermal,cluster.fan_speed_normalised,0.5000,0.9800,-0.0048,-0.8991
2026-03-25 11:42:40,network,cluster.qos_normalised,0.5000,0.0500,-0.0003,-0.8994
2026-03-25 11:43:42,thermal,cluster.fan_speed_normalised,0.5000,0.9900,-0.0049,-0.9043
2026-03-25 11:43:42,network,cluster.qos_normalised,0.5000,0.2000,-0.0010,-0.9053
2026-03-25 11:44:46,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.9103
2026-03-25 11:44:47,network,cluster.qos_normalised,0.5000,0.4400,-0.0022,-0.9125
2026-03-25 11:45:48,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.9175
2026-03-25 11:45:49,network,cluster.qos_normalised,0.5000,0.8400,-0.0042,-0.9217
2026-03-25 11:46:51,thermal,cluster.fan_speed_normalised,0.5000,0.9900,-0.0049,-0.9266
2026-03-25 11:46:51,network,cluster.qos_normalised,0.5000,0.4300,-0.0021,-0.9287
2026-03-25 11:47:53,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.9337
2026-03-25 11:47:53,network,cluster.qos_normalised,0.5000,0.5800,-0.0029,-0.9366
2026-03-25 11:48:55,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.9416
2026-03-25 11:48:56,network,cluster.qos_normalised,0.5000,0.6500,-0.0033,-0.9449
2026-03-25 11:49:57,thermal,cluster.fan_speed_normalised,0.5000,0.9900,-0.0049,-0.9498
2026-03-25 11:49:57,network,cluster.qos_normalised,0.5000,0.5700,-0.0029,-0.9527
2026-03-25 11:51:01,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.9577
2026-03-25 11:51:02,network,cluster.qos_normalised,0.5000,1.0000,-0.0050,-0.9627
2026-03-25 11:52:04,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.9677
2026-03-25 11:52:05,network,cluster.qos_normalised,0.5000,0.5500,-0.0027,-0.9704
2026-03-25 11:53:06,thermal,cluster.fan_speed_normalised,0.5000,0.9900,-0.0049,-0.9753
2026-03-25 11:53:06,network,cluster.qos_normalised,0.5000,0.4400,-0.0022,-0.9775
2026-03-25 11:54:08,thermal,cluster.fan_speed_normalised,0.5000,0.9300,-0.0043,-0.9818
2026-03-25 11:54:09,network,cluster.qos_normalised,0.5000,0.0600,-0.0003,-0.9821
2026-03-25 11:55:10,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.9871
2026-03-25 11:55:10,network,cluster.qos_normalised,0.5000,0.3700,-0.0019,-0.9890
2026-03-25 11:56:13,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-0.9940
2026-03-25 11:56:13,network,cluster.qos_normalised,0.5000,0.2500,-0.0013,-0.9953
2026-03-25 11:57:17,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-1.0003
2026-03-25 11:58:19,thermal,cluster.fan_speed_normalised,0.5000,0.9200,-0.0042,-1.0045
2026-03-25 11:58:19,network,cluster.qos_normalised,0.5000,0.8800,-0.0044,-1.0089
2026-03-25 11:59:21,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-1.0139
2026-03-25 11:59:22,network,cluster.qos_normalised,0.5000,0.7500,-0.0038,-1.0177
2026-03-25 12:00:23,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-1.0227
2026-03-25 12:00:23,network,cluster.qos_normalised,0.5000,0.6700,-0.0033,-1.0260
2026-03-25 12:01:25,thermal,cluster.fan_speed_normalised,0.5000,1.0000,-0.0050,-1.0310
2026-03-25 12:01:25,network,cluster.qos_normalised,0.5000,0.4200,-0.0021,-1.0331
